"JW_ID"	"Solubility..."
"1084"	"JW2011"	90
"1086"	"JW2019"	15
"1087"	"JW2021"	6
"1088"	"JW2026"	23
"1089"	"JW2029"	22
"1090"	"JW2030"	4
"1092"	"JW2035"	10
"1093"	"JW2038"	4
"1094"	"JW2042"	9
"1096"	"JW2054"	8
"1099"	"JW2066"	75
"1101"	"JW2082"	7
"1104"	"JW1054"	84
"1112"	"JW5155"	84
"1113"	"JW1074"	112
"1114"	"JW1078"	80
"1115"	"JW1079"	93
"1116"	"JW1082"	11
"1117"	"JW1084"	88
"1119"	"JW1092"	9
"1120"	"JW5158"	24
"1121"	"JW5159"	73
"1122"	"JW5162"	26
"1123"	"JW1105"	20
"1124"	"JW1116"	87
"1125"	"JW5165"	19
"1126"	"JW1121"	78
"1127"	"JW5169"	102
"1128"	"JW1131"	100
"1129"	"JW1133"	21
"1131"	"JW1139"	12
"1132"	"JW1140"	26
"1133"	"JW1142"	113
"1135"	"JW1144"	17
"1139"	"JW1164"	95
"1141"	"JW1169"	24
"1144"	"JW1176"	86
"1146"	"JW1181"	5
"1148"	"JW5186"	82
"1149"	"JW1195"	78
"1150"	"JW1198"	9
"1151"	"JW1199"	100
"1153"	"JW1203"	81
"1154"	"JW1205"	106
"1156"	"JW1209"	28
"1157"	"JW1212"	102
"1158"	"JW1217"	101
"1160"	"JW1222"	5
"1161"	"JW1224"	86
"1163"	"JW1227"	25
"1166"	"JW1249"	95
"1167"	"JW1250"	101
"1168"	"JW1252"	86
"1171"	"JW1262"	104
"1173"	"JW1269"	103
"1176"	"JW1283"	8
"1180"	"JW1297"	114
"1184"	"JW5804"	16
"1185"	"JW1328"	105
"1186"	"JW1329"	11
"1187"	"JW1333"	3
"1189"	"JW1338"	93
"1192"	"JW1354"	20
"1193"	"JW1367"	113
"1196"	"JW5217"	117
"1197"	"JW1388"	71
"1198"	"JW1389"	99
"1199"	"JW1391"	77
"1203"	"JW1409"	109
"1204"	"JW1411"	24
"1206"	"JW1423"	118
"1208"	"JW1430"	75
"1211"	"JW1449"	16
"1215"	"JW1458"	82
"1216"	"JW1459"	82
"1217"	"JW1461"	91
"1218"	"JW1467"	6
"1221"	"JW1478"	18
"1229"	"JW1512"	78
"1232"	"JW1519"	4
"1236"	"JW1530"	98
"1237"	"JW1532"	15
"1238"	"JW1538"	22
"1239"	"JW1539"	88
"1240"	"JW1541"	72
"1246"	"JW5264"	89
"1250"	"JW1598"	20
"1251"	"JW1600"	85
"1252"	"JW1602"	5
"1253"	"JW1610"	94
"1259"	"JW1627"	77
"1263"	"JW1639"	11
"1264"	"JW5874"	16
"1266"	"JW1648"	78
"1267"	"JW1651"	7
"1268"	"JW1654"	91
"1269"	"JW1659"	25
"1271"	"JW1662"	92
"1274"	"JW1682"	84
"1275"	"JW1683"	97
"1276"	"JW1688"	9
"1277"	"JW1693"	21
"1278"	"JW1697"	17
"1279"	"JW1699"	9
"1280"	"JW1700"	99
"1282"	"JW5280"	84
"1286"	"JW1719"	14
"1287"	"JW1722"	11
"1289"	"JW1730"	14
"1290"	"JW1731"	16
"1292"	"JW1738"	24
"1294"	"JW5286"	20
"1295"	"JW1754"	99
"1296"	"JW1759"	4
"1297"	"JW1762"	21
"1298"	"JW1769"	97
"1299"	"JW1770"	13
"1301"	"JW1776"	81
"1302"	"JW1779"	17
"1303"	"JW1788"	7
"1305"	"JW1796"	101
"1306"	"JW1802"	16
"1312"	"JW1827"	7
"1313"	"JW1832"	11
"1314"	"JW1833"	12
"1316"	"JW1839"	78
"1317"	"JW1842"	27
"1318"	"JW1847"	16
"1319"	"JW1850"	94
"1320"	"JW1852"	18
"1321"	"JW5307"	77
"1322"	"JW1857"	12
"1324"	"JW1863"	20
"1325"	"JW1870"	108
"1326"	"JW1873"	11
"1327"	"JW1876"	81
"1330"	"JW1880"	3
"1332"	"JW1890"	83
"1333"	"JW1893"	75
"1334"	"JW1896"	87
"1336"	"JW1899"	75
"1340"	"JW1906"	23
"1341"	"JW1916"	20
"1342"	"JW1924"	109
"1346"	"JW1945"	117
"1347"	"JW5319"	18
"1348"	"JW1950"	79
"1349"	"JW5322"	105
"1351"	"JW1958"	87
"1352"	"JW1961"	14
"1353"	"JW1966"	21
"1357"	"JW5327"	6
"1359"	"JW2005"	11
"1361"	"JW2008"	98
"1364"	"JW5335"	76
"1365"	"JW2039"	19
"1366"	"JW2040"	11
"1368"	"JW2050"	91
"1370"	"JW2053"	20
"1373"	"JW2064"	74
"1374"	"JW2070"	76
"1375"	"JW5152"	89
"1376"	"JW1057"	81
"1377"	"JW1058"	89
"1380"	"JW1089"	84
"1383"	"JW1120"	98
"1384"	"JW1127"	135
"1386"	"JW1137"	10
"1387"	"JW1151"	88
"1388"	"JW1152"	96
"1393"	"JW5179"	13
"1394"	"JW1163"	102
"1397"	"JW1168"	108
"1398"	"JW5180"	86
"1401"	"JW1185"	88
"1404"	"JW1208"	112
"1405"	"JW1210"	92
"1407"	"JW1225"	103
"1408"	"JW1245"	80
"1409"	"JW1251"	92
"1410"	"JW1265"	82
"1412"	"JW1274"	110
"1414"	"JW1288"	102
"1419"	"JW1341"	134
"1420"	"JW5208"	104
"1421"	"JW1345"	105
"1422"	"JW1346"	118
"1423"	"JW1347"	25
"1424"	"JW1351"	92
"1425"	"JW1353"	88
"1426"	"JW5211"	88
"1427"	"JW5212"	103
"1428"	"JW1359"	90
"1429"	"JW1360"	77
"1430"	"JW1370"	94
"1434"	"JW1384"	86
